,News,Classification
1639,The pretax profit of the group 's life insurance business increased to EUR 36 million from EUR 27 million .,positive
1640,Raute posted a net profit of 1.8 mln euro $ 2.6 mln for the third quarter of 2007  compared to a net loss of 299000 euro $ 430000 for the corresponding period of 2006 .,positive
1641,Net cash flow from operating activities was a negative EUR 3.1 mn  compared to EUR 23.3 mn in the corresponding period in 2009 .,negative
1642,- Cash flow from operating activities before investments was EUR 7.6 million EUR 2.5 million .,neutral
1643,Lee & Man Paper and Metso have a long and prosperous co-operation  a good example of which are the Changshu and Hongmei kraftliner machines delivered earlier .,positive
1644,Proline Plus is available in both adjustable single and multichannel models and fixed volume single-channel models  in volume ranges from 0.1 micro litres to 10 ml .,neutral
1645,Excluding non-recurring items  pre-tax profit surged 45 % to EUR80m .,positive
1646,Most recently  he founded Virent Energy Systems  Inc.  an 80 person catalytic biofuels company  where  as president and CEO  he led the company through multiple financings  defined the company 's market strategy  and secured the company 's first customers .,neutral
1647,Raute said it has won an order worth around 15 mln eur to supply several plywood production lines to mills operated by Russian wood products company Sveza Group .,positive
1648,Tekla Group 's net sales for 2005 were approximately 38 million euros .,neutral
1649,In accordance with the terms and conditions of Alma Media 's 2006 option program  the share subscription price for the 2006A option rights was EUR 4.88 per share and the book countervalue EUR 0.60 per share .,neutral
1650,Helsinki 19 May 2010 - Finnish company Lemminkainen Oyj ( HEL : LEM1S ) said today that it will construct an office building at Toolonlahti in downtown Helsinki  without disclosing financial details .,neutral
1651,HELSINKI ( AFX ) - Shares closed higher  led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets  and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations  dealers said .,positive
1652,TietoEnator was down 1.13 pct to 18.38  extending recent lows after last week 's second-quarter report  dealers said .,negative
1653,The contract also includes cutting and edging wagon parts at Ruukki 's steel service centres in Seinajoki and Raahe  both in southwestern Finland  from where they will be delivered to VR for welding and assembly .,neutral
1654,DnB Nord of Norway is the `` most likely Nordic buyer '' for Citadele  while Nordea would be a `` good strategic fit ''  according to the document published by Pietiek .,neutral
1655,The order consists of capacity expansion  maintenance services and new charging functionality  the company said .,neutral
1656,In the first quarter of 2008  Sacanfil 's net sales totalled EUR 50.0 mn and its operating profit EUR 4.7 mn .,neutral
1657,The company will disclose further details  including the anticipated transaction timetable and the name of the new investor  within one week .,neutral
1658,Stora Chief Executive Jouko Karvinen has described the Russian tariff hikes as a threat to the future of the forest products industry in Finland .,negative
1659,Following the acquisition  Relacom will strengthen its presence in Finland  serving operators and office market with mobile and fixed networks construction  installation and maintenance services .,positive
1660,Neste Oil said that while results from its biomass to 3 liquids demonstration plant  commissioned in June 2009  have been promising  no decision on a commercial plant has been taken .,neutral
1661,Pretax loss totaled EUR 1.2 mn  down from a profit of EUR 2.1 mn in 2004 .,negative
1662,Talentum acquired a 47.5 pct stake in Varesvuo Partners in 1997 and the remaining in 2002 and 2005 .,neutral
1663,Revenue for the quarter totaled 27.4 billion  down 2 percent from 28.1 billion in the fourth quarter in 2008 .,negative
1664,Rautalinko was resposnible also for Mobility Services  and his job in this division will be continued by Marek Hintze .,neutral
1665,Alma Media 's operating profit amounted to EUR 11.9 mn  down from EUR 15.0 mn a year earlier .,negative
1666,The orders consist in total of over 1600 panels of lift-away weatherdeck hatch covers and they will be delivered for container vessels with capacities ranging from 2000 to 13300 TEUs .,neutral
1667,As with other stakeholders  COMPTEL has been involved in the workshops  meetings and filed comments on the issues of greatest importance to the competitive sector of our industry .,neutral
1668,Sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects .,positive
1669,First Industrial will seek LEED designation for Uponor 's new building and a 282000 square-foot speculative distribution center at First Park Lakeville .,neutral
1670,Net sales rose by 25.5 % year-on-year to EUR59 .6 m  as the number of chargers delivered went up by 41 % to 65.9 million pieces .,positive
1671,The cranes would be installed onboard two freighters ordered by Singaporean ship owner Masterbulk .,neutral
1672,The most significant challengers in the market are Logset and Sampo-Rosenlew .,neutral
1673,Operating profit for the 12-month period decreased from EUR17 .9 m while net sales increased from EUR58 .3 m  as compared to 2007 .,negative
1674,Demand was brisk as expected and order levels have remained high .,positive
1675,The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30  2007  up by 24.2 pct on the year  with international orders amounting to 365 mln euro $ 534.3 mln .,positive
1676,`` Adjustment to the fall in price level  in contrast  has been less effective .,negative
1677,The Polish business employs about 1000 people  and it had net sales of about EUR 70mn in 2007 .,neutral
1678,In the second quarter of 2009  net sales through operator business partners represented 47 % of the Group 's total net sales .,neutral
1679,Unlisted British Biologicals makes B - and D - proteins  and other disease-specific supplements that cover diabetes  hepatitis  asthma and other cardiovascular ailments .,neutral
1680,Teleste was set up in 1954 and is divided into Broadband Cable Networks and Video Networks business areas .,neutral
1681,The value of the contracts is about EUR 3.3 mn .,neutral
1682,LONDON MarketWatch -- Nokia nok said it 's won a five-year services contract to run Hutchison Essar 's network operations in nine locations in India .,positive
1683,Then  it said the contract was estimated to contribute more than EUR150m to its net sales in 2010 .,positive
1684,"Product coverage : baked goods , biscuits , breakfast cereals Data coverage : market sizes historic and forecasts  company shares  brand shares and distribution data .",neutral
1685,Rimvesta is now controlled by the Estonian-owned real estate development company ELL Nekilnojamas Turtas  which a member of Merko  the largest construction group in the Baltic countries .,neutral
1686,Pertti Ervi is independent from the Company and its major shareholders .,neutral
1687,Ramirent Finland is the domestic unit of machinery rental company Ramirent Oyj HEL : RMR1V .,neutral
1688,When this investment is in place  Atria plans to expand into the Moscow market .,neutral
1689,Finnish energy company Fortum has set itself new stricter target limits for short-term carbon dioxide emissions from its heat and electricity production .,neutral
1690,Finnish IT consultancy Satama Interactive Oyj posted a net profit of 1.4 mln euro $ 2.0 mln for the first nine months of 2007  compared to a net loss of 462000 euro $ 664000 for the same period of 2006 .,positive
1691,This organization will assume the responsibility for operations in Russia .,neutral
1692,Teleste has some 30 offices worldwide and is listed on the Nordic Exchange in Helsinki .,neutral
1693,Sales of security and system packaging increased slightly .,positive
1694,Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before  especially in Finland  Russia and the Baltic countries .,negative
1695,In Q2 of 2009  profit before taxes amounted to EUR 13.6 mn  down from EUR 26.8 mn in Q2 of 2008 .,negative
1696,The report goes on to provide detailed profiles of ten leading European specialty chemicals companies  and brief profiles of other major players .,neutral
